YYYY,DOY,HR,MN,SYMH
2018,213,20,28,5
2018,213,20,29,4
2018,213,20,30,4
2018,213,20,31,4
2018,213,20,32,4
2018,213,20,33,4
2018,213,20,34,4
2018,213,20,35,4
2018,213,20,36,3
2018,213,20,37,3
2018,213,20,38,3
2018,213,20,39,3
2018,213,20,40,4
2018,213,20,41,4
2018,213,20,42,4
2018,213,20,43,4
2018,213,20,44,4
2018,213,20,45,4
2018,213,20,46,4
2018,213,20,47,4
2018,213,20,48,5
2018,213,20,49,5
2018,213,20,50,5
2018,213,20,51,5
2018,213,20,52,5
2018,213,20,53,5
2018,213,20,54,5
2018,213,20,55,5
2018,213,20,56,5
2018,213,20,57,5
